"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","22.35","47538421861.35","n/a","Switzerland","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACIU","AC Immune SA","15.68","868609938.56","n/a","Switzerland","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACN","Accenture plc","115.59","74524169280.03","n/a","Ireland","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ADAP","Adaptimmune Therapeutics plc","5.19","367375790.04","n/a","United Kingdom","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"AGRO","Adecoagro S.A.","11.28","1380468960","n/a","Luxembourg","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"AAAP","Advanced Accelerator Applications S.A.","38.39","1507886450.95","n/a","France","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ANW","Aegean Marine Petroleum Network Inc.","9.23","467922723.19","n/a","Greece","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","25.25","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.35","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","4.24","8942853087.36","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.8","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","27.22","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","40.72","7649892810.64","n/a","Netherlands","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"AFMD","Affimed N.V.","2.3","76496629.2","n/a","Germany","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AIXG","Aixtron SE","6.3299","706301528.2117","n/a","Germany","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"ALKS","Alkermes plc","55.62","8429583820.86","n/a","Ireland","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"AWH","Allied World Assurance Company Holdings, AG","42.86","4052707319.62","n/a","Switzerland","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ASPS","Altisource Portfolio Solutions S.A.","30.86","566264057.86","n/a","Luxembourg","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AMRN","Amarin Corporation plc","3.2","592914441.6","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"DOX","Amdocs Limited","58.99","8721789480","n/a","Guernsey","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMFW","Amec Plc Ord","7.32","2877724871.16","n/a","United Kingdom","2014","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/amfw",
"BUD","Anheuser-Busch Inbev SA","126.77","255979304917.21","n/a","Belgium","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"MT","ArcelorMittal","6.68","20420760000","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"ASND","Ascendis Pharma A/S","19.08","479446857.36","n/a","Denmark","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asnd",
"ASML","ASML Holding N.V.","105.26","44615026982.72","n/a","Netherlands","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZN","Astrazeneca PLC","30.72","77721600000","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"ABY","Atlantica Yield plc","18.59","1863038863.4","n/a","United Kingdom","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"TEAM","Atlassian Corporation Plc","29.04","6283049620.32","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/team",
"EARS","Auris Medical Holding AG","1.32","45315209.28","n/a","Switzerland","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ears",
"ALV","Autoliv, Inc.","99.42","8770685755.5","n/a","Sweden","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AVG","AVG Technologies N.V.","25.25","1278465903.25","n/a","Netherlands","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/avg",
