"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.44","44836044","n/a","United States","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","9.63","626057595.99","n/a","United States","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","13.6","108157998.4","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","34.61","895260088.73","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"XXII","22nd Century Group, Inc","1.26","103569622.38","n/a","United States","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","36.69","1720033033.71","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","14.11","1583246399.89","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","171.27","103515637839.57","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"CAFD","8point3 Energy Partners LP","15.13","1196303015.88","n/a","United States","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","15.35","1376601277.75","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","16.5","373963227","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","28.65","843151794.3","n/a","United States","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AHC","A.H. Belo Corporation","6.9","149566194","n/a","United States","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AAC","AAC Holdings, Inc.","17.46","413824488.48","n/a","United States","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AAON","AAON, Inc.","29.8","1577157997","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","31.89","1089818841.57","n/a","United States","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","23.52","1707041639.52","n/a","United States","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABAX","ABAXIS, Inc.","52.98","1193798340","n/a","United States","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABT","Abbott Laboratories","40.41","59402514720.15","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","61.12","99536508982.08","n/a","United States","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","8.2","275074764.6","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","4.38","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ANF","Abercrombie & Fitch Company","15.52","1050103515.68","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.94","1266167141.72","n/a","United States","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","5.58","127049931.9","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","6.43","60355175.71","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","12.5","120981625","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe",
"FCO","Aberdeen Global Income Fund, Inc.","8.3027","72765344.3566","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"GCH","Aberdeen Greater China Fund, Inc.","9.22","82659826.28","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"IF","Aberdeen Indonesia Fund, Inc.","6.52","61291299.12","n/a","United States","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","16.26","65007463.74","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.1438","110760045.0768","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","9.19","70054065.02","n/a","United States","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABMD","ABIOMED, Inc.","125.61","5405543573.01","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","38.74","2159991275.26","n/a","United States","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","1.81","244419324.81","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIA","Acacia Communications, Inc.","91.27","3268186394.11","n/a","United States","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","5.9","297261576.2","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","39.43","3446845212.6","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","23.72","2704214350.08","n/a","United States","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","35.07","2653771273.65","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"AXDX","Accelerate Diagnostics, Inc.","22.35","1144955902.2","n/a","United States","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","28.25","1062106520.75","n/a","United States","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","24.03","254422286.82","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACCO","Acco Brands Corporation","10.95","1173763809.9","n/a","United States","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","5.55","452739540.6","n/a","United States","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACW","Accuride Corporation New","2.51","121088629.82","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.15","142733562.3","n/a","United States","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","18.91","560656236.24","n/a","United States","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","5.31","141669217.62","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","6.84","934897273.92","n/a","United States","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","19.83","2323515643.86","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","22.29","477349199.13","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs",
"ACU","Acme United Corporation.","20.5198","68186269.41","n/a","United States","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","26","157476956","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","20.1","927411990","n/a","United States","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"AIII","ACRE Realty Investors, Inc.","1.3099","26806038.5513","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"ATNM","Actinium Pharmaceuticals, Inc.","1.06","50580174.76","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm",
"ACPW","Active Power, Inc.","0.2599","6007343.9341","n/a","United States","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","45.47","33714507309.14","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","12.2","482000320.6","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ATU","Actuant Corporation","22.12","1303495102","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","239.76","10522365821.28","n/a","United States","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ACUR","Acura Pharmaceuticals, Inc.","1.16","13727209.16","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","25.12","1944515436.48","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","14.51","318190341.38","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","2.7","56394438.3","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","12.98","1240138469.9","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","19.68","552867563.52","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","38.45","162166566.2","n/a","United States","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
